Name;Time;X;Y
BadJoe;56;3,0;2,0
counter1;57;10,0;10,0
DLH123;57;20,0;20,0
johnMclain;57;377,00371055533583;-387,0037105553358
BadJoe;57;3,0;2,0
counter1;58;10,0;10,0
DLH123;58;20,0;20,0
johnMclain;58;384,0747783672013;-394,07477836720125
BadJoe;58;3,0;2,0
counter1;59;10,0;10,0
DLH123;59;20,0;20,0
johnMclain;59;391,1458461790668;-401,1458461790667
BadJoe;59;3,0;2,0
counter1;60;10,0;10,0
DLH123;60;20,0;20,0
johnMclain;60;398,21691399093226;-408,2169139909322
BadJoe;60;3,0;2,0
counter1;61;10,0;10,0
DLH123;61;20,0;20,0
johnMclain;61;405,28798180279773;-415,2879818027977
BadJoe;61;3,0;2,0
counter1;62;10,0;10,0
DLH123;62;20,0;20,0
johnMclain;62;412,3590496146632;-422,35904961466315
BadJoe;62;3,0;2,0
counter1;63;10,0;10,0
DLH123;63;20,0;20,0
johnMclain;63;419,4301174265287;-429,4301174265286
BadJoe;63;3,0;2,0
counter1;64;10,0;10,0
DLH123;64;20,0;20,0
johnMclain;64;426,50118523839416;-436,5011852383941
BadJoe;64;3,0;2,0
counter1;65;10,0;10,0
DLH123;65;20,0;20,0
johnMclain;65;433,57225305025963;-443,5722530502596
BadJoe;65;3,0;2,0
counter1;66;10,0;10,0
DLH123;66;20,0;20,0
johnMclain;66;440,6433208621251;-450,64332086212505
BadJoe;66;3,0;2,0
counter1;67;10,0;10,0
DLH123;67;20,0;20,0
johnMclain;67;447,7143886739906;-457,7143886739905
BadJoe;67;3,0;2,0
counter1;68;10,0;10,0
DLH123;68;20,0;20,0
johnMclain;68;454,78545648585606;-464,785456485856
BadJoe;68;3,0;2,0
counter1;69;10,0;10,0
DLH123;69;20,0;20,0
johnMclain;69;461,85652429772153;-471,8565242977215
BadJoe;69;3,0;2,0
counter1;70;10,0;10,0
DLH123;70;20,0;20,0
johnMclain;70;468,927592109587;-478,92759210958695
BadJoe;70;3,0;2,0
counter1;71;10,0;10,0
DLH123;71;20,0;20,0
johnMclain;71;475,9986599214525;-485,99865992145243
BadJoe;71;3,0;2,0
counter1;72;10,0;10,0
DLH123;72;20,0;20,0
johnMclain;72;483,06972773331796;-493,0697277333179
BadJoe;72;3,0;2,0
counter1;73;10,0;10,0
DLH123;73;20,0;20,0
johnMclain;73;490,14079554518344;-500,1407955451834
BadJoe;73;3,0;2,0
counter1;74;10,0;10,0
DLH123;74;20,0;20,0
johnMclain;74;497,2118633570489;-507,21186335704886
BadJoe;74;3,0;2,0
counter1;75;10,0;10,0
DLH123;75;20,0;20,0
johnMclain;75;504,2829311689144;-514,2829311689143
BadJoe;75;3,0;2,0
counter1;76;10,0;10,0
DLH123;76;20,0;20,0
johnMclain;76;511,35399898077986;-521,3539989807797
BadJoe;76;3,0;2,0
counter1;77;10,0;10,0
DLH123;77;20,0;20,0
johnMclain;77;518,4250667926453;-528,4250667926451
BadJoe;77;3,0;2,0
counter1;78;10,0;10,0
DLH123;78;20,0;20,0
johnMclain;78;525,4961346045108;-535,4961346045106
BadJoe;78;3,0;2,0
counter1;79;10,0;10,0
DLH123;79;20,0;20,0
johnMclain;79;532,5672024163762;-542,5672024163761
BadJoe;79;3,0;2,0
counter1;80;10,0;10,0
DLH123;80;20,0;20,0
johnMclain;80;539,6382702282417;-549,6382702282415
BadJoe;80;3,0;2,0
counter1;81;10,0;10,0
DLH123;81;20,0;20,0
johnMclain;81;546,7093380401071;-556,709338040107
BadJoe;81;3,0;2,0
counter1;82;10,0;10,0
DLH123;82;20,0;20,0
johnMclain;82;553,7804058519725;-563,7804058519724
BadJoe;82;3,0;2,0
counter1;83;10,0;10,0
DLH123;83;20,0;20,0
johnMclain;83;560,8514736638381;-570,8514736638379
BadJoe;83;3,0;2,0
counter1;84;10,0;10,0
DLH123;84;20,0;20,0
johnMclain;84;567,9225414757035;-577,9225414757034
BadJoe;84;3,0;2,0
counter1;85;10,0;10,0
DLH123;85;20,0;20,0
johnMclain;85;574,9936092875689;-584,9936092875688
BadJoe;85;3,0;2,0
counter1;86;10,0;10,0
DLH123;86;20,0;20,0
johnMclain;86;582,0646770994344;-592,0646770994342
BadJoe;86;3,0;2,0
counter1;87;10,0;10,0
DLH123;87;20,0;20,0
johnMclain;87;589,1357449113;-599,1357449112996
BadJoe;87;3,0;2,0
counter1;88;10,0;10,0
DLH123;88;20,0;20,0
johnMclain;88;596,2068127231654;-606,2068127231652
BadJoe;88;3,0;2,0
counter1;89;10,0;10,0
DLH123;89;20,0;20,0
johnMclain;89;603,2778805350308;-613,2778805350306
BadJoe;89;3,0;2,0
counter1;90;10,0;10,0
DLH123;90;20,0;20,0
johnMclain;90;610,3489483468963;-620,348948346896
BadJoe;90;3,0;2,0
counter1;91;10,0;10,0
DLH123;91;20,0;20,0
johnMclain;91;617,4200161587618;-627,4200161587615
BadJoe;91;3,0;2,0
counter1;92;10,0;10,0
DLH123;92;20,0;20,0
johnMclain;92;624,4910839706272;-634,491083970627
BadJoe;92;3,0;2,0
counter1;93;10,0;10,0
DLH123;93;20,0;20,0
johnMclain;93;631,5621517824927;-641,5621517824924
BadJoe;93;3,0;2,0
counter1;94;10,0;10,0
DLH123;94;20,0;20,0
johnMclain;94;638,6332195943581;-648,6332195943579
BadJoe;94;3,0;2,0
counter1;95;10,0;10,0
DLH123;95;20,0;20,0
johnMclain;95;645,7042874062236;-655,7042874062233
BadJoe;95;3,0;2,0
counter1;96;10,0;10,0
DLH123;96;20,0;20,0
johnMclain;96;652,7753552180891;-662,7753552180887
BadJoe;96;3,0;2,0
counter1;97;10,0;10,0
DLH123;97;20,0;20,0
johnMclain;97;659,8464230299545;-669,8464230299543
BadJoe;97;3,0;2,0
counter1;98;10,0;10,0
DLH123;98;20,0;20,0
johnMclain;98;666,9174908418199;-676,9174908418197
BadJoe;98;3,0;2,0
counter1;99;10,0;10,0
DLH123;99;20,0;20,0
johnMclain;99;673,9885586536855;-683,9885586536851
BadJoe;99;3,0;2,0
