Name;Time;X;Y
johnMclain;28;-182,40784672097502;186,37176136826042
LuckyLuke;28;-206,08131736867924;209,80773735994293
soc;28;-50,0;-50,0
BadJoe;28;6,0;-2,0
counter1;29;10,0;10,0
DLH123;29;20,0;20,0
jim;29;-63,13205167655261;102,42692041602928
johnMclain;29;-189,4782372822987;193,44350636580842
LuckyLuke;29;-213,14782000803623;216,88336739888368
soc;29;-50,0;-50,0
BadJoe;29;6,0;-2,0
counter1;30;10,0;10,0
DLH123;30;20,0;20,0
jim;30;-66,65249548039895;105,97748029074761
johnMclain;30;-196,54867684675145;200,51520236927328
LuckyLuke;30;-220,21461751559133;223,95870293772654
soc;30;-50,0;-50,0
BadJoe;30;6,0;-2,0
counter1;31;10,0;10,0
DLH123;31;20,0;20,0
jim;31;-70,17417787134127;109,52681165557209
johnMclain;31;-203,61916028145566;207,5868545100091
LuckyLuke;31;-227,28168221394915;231,03377159811598
soc;31;-50,0;-50,0
BadJoe;31;6,0;-2,0
counter1;32;10,0;10,0
DLH123;32;20,0;20,0
jim;32;-73,69695228745618;113,07505916852354
johnMclain;32;-210,68968314622114;214,65846722698026
LuckyLuke;32;-234,3489897847767;238,10859765246698
soc;32;-50,0;-50,0
BadJoe;32;6,0;-2,0
counter1;33;10,0;10,0
DLH123;33;20,0;20,0
jim;33;-77,22069442379673;116,62234564646386
johnMclain;33;-217,76024158050868;221,73004437973236
LuckyLuke;33;-241,4165187741804;245,18320251662288
soc;33;-50,0;-50,0
BadJoe;33;6,0;-2,0
counter1;34;10,0;10,0
DLH123;34;20,0;20,0
jim;34;-80,74529816019273;120,16877603509175
johnMclain;34;-224,83083221182935;228,80158933994298
LuckyLuke;34;-248,48425018298914;252,25760515804345
soc;34;-50,0;-50,0
BadJoe;34;6,0;-2,0
counter1;35;10,0;10,0
DLH123;35;20,0;20,0
jim;35;-84,27067235190212;123,71444054381638
johnMclain;35;-231,90145208098238;235,87310506614614
LuckyLuke;35;-255,5521671254114;259,3318224359492
soc;35;-50,0;-50,0
BadJoe;35;6,0;-2,0
counter1;36;10,0;10,0
DLH123;36;20,0;20,0
jim;36;-87,79673827701721;127,2594171434207
johnMclain;36;-238,9720985806274;242,94459416513072
LuckyLuke;36;-262,6202545431134;266,40586938629684
soc;36;-50,0;-50,0
BadJoe;36;6,0;-2,0
counter1;37;10,0;10,0
DLH123;37;20,0;20,0
jim;37;-91,32342758895027;130,8037735726046
johnMclain;37;-246,0427694044968;250,0160589427056
LuckyLuke;37;-269,68849896449666;273,47975946174927
soc;37;-50,0;-50,0
BadJoe;37;6,0;-2,0
counter1;38;10,0;10,0
DLH123;38;20,0;20,0
jim;38;-94,85068066108857;134,3475689624502
johnMclain;38;-253,11346250515805;257,0875014459196
LuckyLuke;38;-276,75688830105196;280,5535047347197
soc;38;-50,0;-50,0
BadJoe;38;6,0;-2,0
counter1;39;10,0;10,0
DLH123;39;20,0;20,0
jim;39;-98,37844523867159;137,89085516104473
johnMclain;39;-260,18417605869286;264,15892349836844
LuckyLuke;39;-283,82541167429406;287,62711606995225
soc;39;-50,0;-50,0
BadJoe;39;6,0;-2,0
counter1;40;10,0;10,0
DLH123;40;20,0;20,0
jim;40;-101,90667533334565;141,43367782087915
johnMclain;40;-267,2549084350063;271,2303267298744
LuckyLuke;40;-290,89405926805006;294,70060327184126
soc;40;-50,0;-50,0
BadJoe;40;6,0;-2,0
counter1;41;10,0;10,0
DLH123;41;20,0;20,0
jim;41;-105,43533031090183;144,97607729713363
johnMclain;41;-274,32565817274667;278,3017126015578
LuckyLuke;41;-297,96282220187095;301,77397521070037
soc;41;-50,0;-50,0
BadJoe;41;6,0;-2,0
counter1;42;10,0;10,0
DLH123;42;20,0;20,0
jim;42;-108,96437413391506;148,51808939412768
johnMclain;42;-281,3964239580213;285,37308242711424
LuckyLuke;42;-305,0316924221246;308,8472399314083
soc;42;-50,0;-50,0
BadJoe;42;6,0;-2,0
counter1;43;10,0;10,0
DLH123;43;20,0;20,0
jim;43;-112,49377472943574;152,0597459890474
johnMclain;43;-288,4672046062546;292,44443739095027
LuckyLuke;43;-312,1006626079536;315,9204047472358
soc;43;-50,0;-50,0
BadJoe;43;6,0;-2,0
counter1;44;10,0;10,0
DLH123;44;20,0;20,0
jim;44;-116,02350345828411;155,60107555585455
johnMclain;44;-295,5379990466606;299,51577856370693
LuckyLuke;44;-319,16972608978426;322,99347632115956
soc;44;-50,0;-50,0
BadJoe;44;6,0;-2,0
counter1;45;10,0;10,0
DLH123;45;20,0;20,0
jim;45;-119,55353466739261;159,1421036075254
johnMclain;45;-302,60880630889983;306,5871069155985
LuckyLuke;45;-326,23887677847404;330,066460736567
soc;45;-50,0;-50,0
BadJoe;45;6,0;-2,0
counter1;46;10,0;10,0
DLH123;46;20,0;20,0
jim;46;-123,08384531041676;162,68285307109247
johnMclain;46;-309,67962551157103;313,6584233279178
LuckyLuke;46;-333,30810910351227;337,1393635589331
soc;46;-50,0;-50,0
BadJoe;46;6,0;-2,0
counter1;47;10,0;10,0
DLH123;47;20,0;20,0
jim;47;-126,6144146247669;166,223344607104
johnMclain;47;-316,7504558522498;320,7297286029951
LuckyLuke;47;-340,3774179589523;344,21218988978535
soc;47;-50,0;-50,0
BadJoe;47;6,0;-2,0
counter1;48;10,0;10,0
DLH123;48;20,0;20,0
jim;48;-130,1452238555065;169,76359688287815
johnMclain;48;-323,8212965988363;327,80102347284827
LuckyLuke;48;-347,44679865596976;351,2849444140593
soc;48;-50,0;-50,0
BadJoe;48;6,0;-2,0
counter1;49;10,0;10,0
DLH123;49;20,0;20,0
